Molecule,=O,O,C,N,-O,=N,=N-O,-tBu,-C(=O)H,-C(=O)CH3,-C(=O)N,-N,-C#CH,-C#N,#N,-OEt,-OMe,-cPropyl,-X,F,-CF3,=NCH3,-NC(=O)CH3,-C(=O)O,-C(=O)OMe,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
CNC1=NC(O)=CN1,0.0,1.0,4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6378,64.53,-0.1712,0.0591,0.2304,1037.3392,0.120237,-396.013551,-396.005634,-396.00469,-396.04575,29.007
CNC1=NC(O)=CO1,0.0,2.0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5641,60.82,-0.1876,0.0388,0.2264,1009.103,0.108005,-415.887704,-415.880084,-415.87914,-415.919682,27.502
COC1=CC(C)=CN1,0.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938,72.07,-0.177,0.0662,0.2432,1093.7528,0.142311,-363.893083,-363.884756,-363.883812,-363.925771,30.315
COC1=CC(C)=CO1,0.0,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7803,68.71,-0.1899,0.0422,0.2321,1083.7046,0.129738,-383.763415,-383.755274,-383.75433,-383.796641,28.849
COC1=CC(N)=CN1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2867,68.31,-0.162,0.0719,0.234,1056.5594,0.131205,-379.93638,-379.928055,-379.927111,-379.968914,30.435
COC1=CC(N)=CO1,0.0,2.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1859,65.01,-0.178,0.0494,0.2274,1044.9119,0.118914,-399.807679,-399.799727,-399.798783,-399.840357,28.782
COC1=CC(O)=CN1,0.0,2.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1848,63.98,-0.1699,0.0672,0.2372,1032.7932,0.118538,-399.81409,-399.805888,-399.804944,-399.846642,29.547
COC1=NC(C)=CN1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8886,67.73,-0.1942,0.0568,0.251,1031.2042,0.131091,-379.963967,-379.955865,-379.954921,-379.996515,28.946
COC1=NC(C)=CO1,0.0,2.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5329,64.13,-0.2145,0.0302,0.2447,1033.6868,0.118626,-399.830731,-399.822925,-399.821981,-399.863136,27.449
COC1=NC(N)=CN1,0.0,1.0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7287,64.11,-0.1709,0.0621,0.2329,992.9811,0.120194,-396.010524,-396.002521,-396.001577,-396.042777,28.954
COC1=NC(N)=CO1,0.0,2.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2661,60.56,-0.1912,0.0372,0.2284,993.9115,0.107863,-415.878365,-415.870753,-415.869809,-415.910336,27.372
COC1=NC(O)=CN1,0.0,2.0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0757,59.89,-0.1832,0.0565,0.2396,969.1998,0.107953,-415.891105,-415.88347,-415.882526,-415.923024,27.667
COC1=NC(O)=CO1,0.0,3.0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0848,56.34,-0.2052,0.0294,0.2345,968.9888,0.095594,-435.757725,-435.750446,-435.749502,-435.789437,26.022
NC1=CNC(CO)=C1,0.0,1.0,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8898,69.16,-0.1758,0.0374,0.2133,1098.866,0.132119,-379.944455,-379.936353,-379.935409,-379.977075,30.045
NC1=CNC(CO)=N1,0.0,1.0,4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3448,64.67,-0.1776,0.0393,0.2169,1045.8651,0.120515,-396.011062,-396.003109,-396.002165,-396.043543,28.896
NC1=COC(CO)=C1,0.0,2.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5467,64.71,-0.1939,0.0213,0.2152,1062.6667,0.119542,-399.811999,-399.804188,-399.803244,-399.844429,28.678
NC1=COC(CO)=N1,0.0,2.0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9629,60.15,-0.2084,0.0065,0.2148,990.1216,0.107897,-415.881975,-415.87424,-415.873296,-415.914537,27.62
[NH3+]CC1=CC([O-])=CO1,0.0,2.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3182,79.69,-0.1896,-0.1091,0.0805,1495.7584,0.113196,-399.763237,-399.753055,-399.752111,-399.803094,32.998
NCC1=NC(N)=CO1,0.0,1.0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4654,64.3,-0.2008,0.0087,0.2095,1035.8518,0.121055,-396.003249,-395.995483,-395.994539,-396.036023,28.258
NCC1=NC(O)=CO1,0.0,2.0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8164,59.9,-0.2158,0.0046,0.2204,1016.304,0.108481,-415.879777,-415.872294,-415.87135,-415.912048,27.022
OCC1=CC(O)=CN1,0.0,2.0,5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857,64.74,-0.187,0.0328,0.2199,1073.6563,0.11955,-399.822284,-399.814391,-399.813446,-399.854719,29.056
OCC1=NC(O)=CN1,0.0,2.0,4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2586,60.29,-0.1914,0.0337,0.2251,1019.589,0.108278,-415.892022,-415.884421,-415.883477,-415.924232,27.587
OCC1=NC(O)=CO1,0.0,3.0,4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.049,56.02,-0.225,-0.0023,0.2227,968.4501,0.095457,-435.760401,-435.752905,-435.751961,-435.792934,26.39
CCC1=CN(C)C=C1,0.0,0.0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9326,79.79,-0.1968,0.0477,0.2445,1172.7101,0.16611,-327.968906,-327.960311,-327.959367,-328.002699,31.031
CCC1=CN(C)C=N1,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6016,75.45,-0.2128,0.0356,0.2484,1137.7563,0.155012,-344.032145,-344.023814,-344.02287,-344.065553,29.648
CN1C=CC(CO)=C1,0.0,1.0,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9779,72.09,-0.203,0.0387,0.2417,1097.4103,0.14297,-363.890041,-363.881806,-363.880861,-363.923335,29.547
CN1C=NC(CO)=C1,0.0,1.0,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2895,67.69,-0.2113,0.0378,0.2491,1066.5069,0.131292,-379.950921,-379.942685,-379.941741,-379.984613,28.481
CNC1=CN(C)C=C1,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817,77.31,-0.165,0.0517,0.2167,1143.7345,0.154634,-344.005267,-343.996642,-343.995698,-344.039402,30.88
CNC1=CN(C)C=N1,0.0,0.0,5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9219,72.66,-0.1762,0.041,0.2172,1080.0663,0.143709,-360.073751,-360.065539,-360.064595,-360.106537,29.414
COC1=CN(C)C=C1,0.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5727,72.94,-0.1812,0.0464,0.2277,1105.6305,0.142279,-363.880521,-363.872228,-363.871284,-363.913883,29.569
COC1=CN(C)C=N1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8399,68.74,-0.1917,0.0328,0.2245,1065.7767,0.131312,-379.948782,-379.940768,-379.939824,-379.981531,28.141
CC1=CC=C(CO)N1,0.0,1.0,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0304,73.57,-0.1877,0.0397,0.2274,1083.5379,0.142838,-363.901108,-363.892858,-363.891913,-363.93405,30.042
CC1=CC=C(CO)O1,0.0,2.0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9194,68.84,-0.2135,0.0131,0.2266,1054.5722,0.130333,-383.772959,-383.76494,-383.763996,-383.805815,28.764
CC1=CN=C(CN)O1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5465,68.12,-0.2259,0.005,0.2309,1048.9811,0.131876,-379.957645,-379.949688,-379.948744,-379.990659,28.275
CC1=CN=C(CO)N1,0.0,1.0,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2218,68.36,-0.2041,0.0351,0.2392,1049.5339,0.131524,-379.963269,-379.955187,-379.954243,-379.996127,28.793
CC1=CN=C(CO)O1,0.0,2.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3044,64.21,-0.2361,0.0016,0.2377,1058.0773,0.11875,-399.836626,-399.828703,-399.827758,-399.869488,27.587
CC1=NC=C(CO)N1,0.0,1.0,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0378,68.48,-0.2155,0.0223,0.2377,1066.4404,0.131752,-379.964915,-379.956892,-379.955948,-379.997929,28.636
CC1=NC=C(CO)O1,0.0,2.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8862,64.25,-0.2362,-0.0002,0.236,1031.4326,0.118976,-399.83523,-399.827362,-399.826418,-399.868056,27.558
CCC1=CC=C(C)N1,0.0,0.0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8294,80.42,-0.1854,0.0481,0.2334,1153.5979,0.166059,-327.980814,-327.972178,-327.971234,-328.014331,31.595
CCC1=CC=C(C)O1,0.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285,76.35,-0.2017,0.0265,0.2282,1102.7218,0.153629,-347.854034,-347.84574,-347.844795,-347.887101,30.152
CCC1=CC=C(N)N1,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3875,76.38,-0.177,0.0544,0.2315,1120.3562,0.155196,-344.025028,-344.016516,-344.015571,-344.05836,31.278
CCC1=CC=C(N)O1,0.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3866,73.1,-0.1768,0.0409,0.2178,1068.0863,0.142722,-363.899811,-363.891656,-363.890712,-363.932549,30.054
CCC1=CC=C(O)N1,0.0,1.0,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.807,71.99,-0.1742,0.0604,0.2347,1093.2298,0.142589,-363.903689,-363.89542,-363.894475,-363.936524,30.608
CCC1=CN=C(C)O1,0.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7932,71.71,-0.224,0.0126,0.2366,1078.0571,0.142339,-363.917206,-363.90907,-363.908125,-363.950241,28.92
CCC1=CN=C(N)O1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,68.28,-0.1993,0.0314,0.2307,1042.3758,0.131796,-379.967938,-379.960138,-379.959194,-380.000257,28.646
CCC1=CN=C(O)N1,0.0,1.0,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2955,67.33,-0.1962,0.0498,0.2461,1065.7271,0.131959,-379.973239,-379.965472,-379.964527,-380.005546,28.727
CCC1=CN=C(O)O1,0.0,2.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767,63.65,-0.2159,0.0257,0.2417,1019.7811,0.119678,-399.845615,-399.838185,-399.83724,-399.877681,27.118
CCC1=NC=C(C)O1,0.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7938,71.7,-0.2238,0.0126,0.2364,1073.6756,0.142397,-363.917048,-363.908929,-363.907985,-363.95018,28.895
CCC1=NC=C(N)O1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5795,68.64,-0.1958,0.025,0.2208,1038.5167,0.131447,-379.961985,-379.954022,-379.953078,-379.994736,28.792
CCC1=NC=C(O)N1,0.0,1.0,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5983,67.63,-0.1932,0.0457,0.2389,1062.0963,0.131327,-379.964251,-379.956206,-379.955261,-379.99732,29.184
CNC1=CC=C(C)N1,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2903,76.94,-0.1781,0.0524,0.2305,1116.9229,0.154862,-344.01757,-344.00904,-344.008096,-344.050923,30.987
CNC1=CC=C(C)O1,0.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899,73.94,-0.172,0.042,0.214,1055.0073,0.142282,-363.892526,-363.884222,-363.883277,-363.925631,29.875
CNC1=CC=C(N)O1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9716,69.81,-0.1735,0.0408,0.2143,1025.5811,0.131335,-379.937173,-379.929013,-379.928069,-379.970067,29.561
CNC1=CC=C(O)N1,0.0,1.0,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2139,68.35,-0.1711,0.0627,0.2338,1061.0461,0.131271,-379.940044,-379.931832,-379.930888,-379.973028,30.04
CNC1=CN=C(C)O1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6091,69.5,-0.1905,0.0259,0.2164,1032.2745,0.131022,-379.95504,-379.946935,-379.945991,-379.988002,28.607
CNC1=CN=C(N)O1,0.0,1.0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6589,64.87,-0.2012,0.0295,0.2307,1006.265,0.120324,-396.005013,-395.997274,-395.99633,-396.037327,28.177
CNC1=CN=C(O)N1,0.0,1.0,4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0174,63.84,-0.189,0.0529,0.2419,1030.4213,0.120638,-396.009195,-396.001474,-396.00053,-396.041576,28.2
CNC1=CN=C(O)O1,0.0,2.0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884,60.37,-0.2185,0.0232,0.2417,983.812,0.108209,-415.883086,-415.875722,-415.874778,-415.915127,26.637
CNC1=NC=C(C)O1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.886,69.46,-0.1917,0.0352,0.2269,1075.6951,0.13118,-379.962518,-379.954429,-379.953485,-379.995046,28.702
CNC1=NC=C(N)O1,0.0,1.0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9078,65.29,-0.1936,0.0337,0.2273,1042.6856,0.120176,-396.0068,-395.99885,-395.997906,-396.039136,28.443
CNC1=NC=C(O)N1,0.0,1.0,4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3087,64.34,-0.1731,0.0607,0.2338,1017.4576,0.120106,-396.004589,-395.996546,-395.995602,-396.037461,28.826
COC1=CC=C(C)N1,0.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.069,73.07,-0.1729,0.0613,0.2343,1109.6852,0.142286,-363.894901,-363.886585,-363.885641,-363.927618,30.171
COC1=CC=C(C)O1,0.0,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2523,69.17,-0.1846,0.0394,0.224,1013.8548,0.129653,-383.766607,-383.758446,-383.757502,-383.800986,28.692
COC1=CC=C(N)N1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409,68.51,-0.1704,0.0648,0.2352,1075.5384,0.13132,-379.938574,-379.93029,-379.929346,-379.971555,29.853
COC1=CC=C(N)O1,0.0,2.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157,65.09,-0.1865,0.0377,0.2243,984.9271,0.11867,-399.81125,-399.803239,-399.802295,-399.845048,28.416
COC1=CC=C(O)N1,0.0,2.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2621,64.06,-0.1633,0.0732,0.2365,1047.5976,0.118648,-399.816262,-399.808201,-399.807257,-399.848578,29.317
COC1=CN=C(C)N1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8899,68.62,-0.1918,0.0468,0.2386,1078.6427,0.131047,-379.955765,-379.947677,-379.946733,-379.988428,28.773
COC1=CN=C(C)O1,0.0,2.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6229,64.73,-0.2139,0.0161,0.23,998.519,0.118354,-399.827946,-399.82001,-399.819066,-399.861098,27.412
COC1=CN=C(N)O1,0.0,2.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1879,61.0,-0.1969,0.0336,0.2305,967.648,0.107837,-415.878028,-415.870444,-415.869499,-415.910286,27.079
COC1=CN=C(O)N1,0.0,2.0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4017,59.91,-0.1971,0.053,0.2502,997.5556,0.107776,-415.882058,-415.874432,-415.873488,-415.914574,27.267
COC1=CN=C(O)O1,0.0,3.0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4901,56.53,-0.2114,0.0292,0.2406,944.8267,0.095682,-435.755731,-435.748515,-435.747571,-435.787701,25.62
COC1=NC=C(C)N1,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2702,68.49,-0.1927,0.052,0.2446,1072.0308,0.131271,-379.963326,-379.955241,-379.954297,-379.995852,28.723
COC1=NC=C(C)O1,0.0,2.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3393,64.69,-0.2116,0.0281,0.2397,1034.6631,0.118993,-399.835999,-399.828262,-399.827318,-399.86823,27.162
COC1=NC=C(N)N1,0.0,1.0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8658,64.18,-0.186,0.0568,0.2428,1037.0796,0.120367,-396.006463,-395.998483,-395.997539,-396.038897,28.421
COC1=NC=C(N)O1,0.0,2.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1264,60.62,-0.2144,0.0262,0.2405,1001.8234,0.107959,-415.880611,-415.873001,-415.872057,-415.912667,26.908
COC1=NC=C(O)N1,0.0,2.0,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.391,59.84,-0.1829,0.0635,0.2464,1009.5839,0.107715,-415.883401,-415.875632,-415.874688,-415.915489,27.743
NC1=CC=C(CO)N1,0.0,1.0,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0229,69.57,-0.1814,0.0395,0.2208,1060.5353,0.13213,-379.9476,-379.939492,-379.938547,-379.980431,29.788
NC1=CC=C(CO)O1,0.0,2.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.579,65.8,-0.1873,0.0266,0.2139,1022.7476,0.119345,-399.819296,-399.811378,-399.810434,-399.851893,28.751
